category	pos_base	pos_sub	city	city_scale	city_civilization	city_strength	city_prosperity	cost	revenue	scale	demand_num	demand_freshness	demand_complexity	demand_fading	supply_num	supply_freshness	supply_concentration	interaction	social_network
16835336454090408364	cacoph	turduc	dubbois	5.151604865083064	3.64376026141148	3.016218114005286	0.6673971129596298	12.150298623879884	21.587781518417145	10.0	4.918729940904103	0.11720260786589361	0.40844792802335506	0.12930609056752873	4.634540633123502	0.08710370369620217	0.21526158698267275	0.7195762154685752	1.313475989374816
6190231997936681453	cacoph	demijne	dubbois	5.227234352015431	3.6303827724836335	3.0018344305359075	0.6673971129596298	9.438404351463564	18.526795759287452	10.0	3.9331332811493778	0.12382769114916219	0.3446672134987897	0.12569806962167418	3.969440439943027	0.0746835239881498	0.23213501001163267	0.6921374126119585	1.455255871960082
1986147565510263320	cacoph	sleutel	dubbois	5.170895568919319	3.598141615818467	3.004334985225737	0.6673971129596298	11.05755579643343	19.344320605875595	10.0	4.1794408719646245	0.08173942076185006	0.41184924856503735	0.1570528098451541	3.8598952113180283	0.06761615670795443	0.2097287864342296	0.7251301376648458	1.5536674681649436
6597441135010309709	cacoph	anemone	dubbois	5.181350938654749	3.630735214329421	3.0397198893253004	0.6673971129596298	7.42687839916841	15.885941826084444	10.0	3.229495657359107	0.08500337827923138	0.2994752808629155	0.2917788164573376	2.925834759584975	0.059277603700963605	0.17007159232745853	0.6808330272696268	1.7367296285442644
15828506765364705604	cacoph	paarois	dubbois	5.159243558319246	3.625280938580742	3.0290777665711377	0.6673971129596298	8.312184060516103	17.026214166748236	10.0	3.5941467131829294	0.1147801419940413	0.32817389421447046	0.14824817377223506	3.2455027695621235	0.09399379323107848	0.3525082746735361	0.6771456747296563	1.712177684760157
2312886406547860791	cacoph	vielois	dubbois	5.165233067536488	3.5957864730992894	3.011116465838894	0.6673971129596298	8.081850110238104	16.766616237920122	10.0	3.4726417556817655	0.10161889634173502	0.3667946978583596	0.10903458869749784	3.2309516108738516	0.07239222444717747	0.33268184099566195	0.6777071802398131	1.7420539153277146
2394081255995189923	cacoph	persim	dubbois	5.214448694404544	3.6148627601705448	3.0063386241770726	0.6673971129596298	10.185193813413688	17.781670837230195	10.0	3.6491977385687533	0.10813275038787142	0.3931399503330572	0.07314399343675794	3.359197125246545	0.07347596231752106	0.2937337206546491	0.6677617551548644	1.6909523426352162
3148118142923709995	cacoph	woesti	dubbois	5.19257140909941	3.6336531130274783	3.017876254056579	0.6673971129596298	8.813218701299231	17.15282098228277	10.0	3.590659489480333	0.08101457117298035	0.38511445560788216	0.16614494037087107	2.992471833845516	0.051174768735009465	0.2393040909397408	0.6575516065845595	1.929531327618676
6079948465453627562	cacoph	gedaois	dubbois	5.235348793532071	3.591940002019067	3.033923351280119	0.6673971129596298	10.704831752894867	19.020359928246755	10.0	4.141133404692181	0.12300152039620171	0.39055045136747146	0.11837998581462349	3.732546127271236	0.07219338710651912	0.2153750666187715	0.7197957024940524	1.53850854991026
8811097868503983883	cacoph	altaois	dubbois	5.20161958432147	3.615568357039598	3.035062530349611	0.6673971129596298	4.972390704159281	12.53657365366059	8.0	2.2937835021825883	0.07561297814630207	0.3567302303081862	0.6230431496479605	2.1159154134518214	0.14888503362331798	0.26263347813448085	0.3635024260140659	2.813826498815723
11287713381507100960	cacoph	flotsam	dubbois	5.209789411064538	3.606335076976175	3.0311826768166714	0.6673971129596298	5.050788924327843	10.935772305508015	6.0	2.225165753784888	0.1586485042974989	0.24952101596427237	0.3452199621016396	2.1033129083115796	0.11065611052473799	0.17927425890289317	0.47267120191111356	3.1191699393928416
3166963149173101214	cacoph	cosmoz	dubbois	5.232079284603817	3.5881196442207828	3.0289541066105317	0.6673971129596298	6.842024140925644	12.936025703124427	9.0	2.5055931383394174	0.047262060268256495	0.24491866240370913	0.25232555407649254	2.452649566825	0.06320676455222778	0.3286713794393911	0.6674507243658341	2.295620790925704
8838493646191082511	cacoph	tooths	dubbois	5.1504122790774955	3.619289296249241	3.0000696327353054	0.6673971129596298	7.1551913067937685	15.309778023172003	9.0	3.1175660102294764	0.045327568298155436	0.29773846503928825	0.11606617546900291	3.087303462346587	0.07774136466217522	0.24092193146834476	0.6477119419815262	1.8130312192600204
6309604993724317621	cacoph	grourde	dubbois	5.189077977384924	3.6431809833330955	3.038438773456219	0.6673971129596298	6.576727755754449	13.69361432951988	10.0	2.5264806620102207	0.050589686659320954	0.29072961457090074	0.16222512428224364	2.6612133355043475	0.062418746747512514	0.35306639919301885	0.6061207796202329	1.7632196020689435
14026498285016236883	cacoph	ragamu	dubbois	5.232635966691065	3.6401829969028445	3.041156043743322	0.6673971129596298	8.987190996214395	17.294771330477026	10.0	3.5971372942922133	0.0667362627526496	0.3211285245778676	0.09401966449239789	3.5365349168404436	0.07471082733972274	0.2950101638687765	0.6923005648184111	1.586719887520398
18270603290481236708	cacoph	nominal	dubbois	5.175427980720257	3.6265008730104844	3.009924586343946	0.6673971129596298	9.643867605099214	15.226009331446946	10.0	3.1734619000072137	0.10482762331266879	0.37076162359138437	0.12426367938930602	3.0908446715948754	0.06275405294130895	0.2714116422574206	0.6427595702248824	1.5296736073083321
